LogTime,read_ce_log_num_15m,scrub_ce_log_num_15m,all_ce_log_num_15m,read_ce_count_15m,scrub_ce_count_15m,all_ce_count_15m,log_happen_frequency_15m,ce_storm_count_15m,fault_mode_others_15m,fault_mode_device_15m,fault_mode_bank_15m,fault_mode_row_15m,fault_mode_column_15m,fault_mode_cell_15m,fault_row_num_15m,fault_column_num_15m,error_bit_count_15m,error_dq_count_15m,error_burst_count_15m,max_dq_interval_15m,max_burst_interval_15m,dq_count=1_15m,dq_count=2_15m,dq_count=3_15m,dq_count=4_15m,burst_count=1_15m,burst_count=2_15m,burst_count=3_15m,burst_count=4_15m,burst_count=5_15m,burst_count=6_15m,burst_count=7_15m,burst_count=8_15m,read_ce_log_num_1h,scrub_ce_log_num_1h,all_ce_log_num_1h,read_ce_count_1h,scrub_ce_count_1h,all_ce_count_1h,log_happen_frequency_1h,ce_storm_count_1h,fault_mode_others_1h,fault_mode_device_1h,fault_mode_bank_1h,fault_mode_row_1h,fault_mode_column_1h,fault_mode_cell_1h,fault_row_num_1h,fault_column_num_1h,error_bit_count_1h,error_dq_count_1h,error_burst_count_1h,max_dq_interval_1h,max_burst_interval_1h,dq_count=1_1h,dq_count=2_1h,dq_count=3_1h,dq_count=4_1h,burst_count=1_1h,burst_count=2_1h,burst_count=3_1h,burst_count=4_1h,burst_count=5_1h,burst_count=6_1h,burst_count=7_1h,burst_count=8_1h,label
1704125773,0,1,1,0,1,1,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704041069,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,4,0,4,1800.0,0,0,0,0,1,0,0,1,0,2,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1
1704046594,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704058349,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704077189,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704087150,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704089189,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,4,0,4,1800.0,0,0,0,0,1,0,0,1,0,2,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1
1704104189,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704135905,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704144989,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704148094,0,1,1,0,1,1,900.0,0,0,0,0,0,0,1,0,0,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,2,1,3,1800.0,0,0,0,0,1,0,0,0,0,3,3,2,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1
1704098592,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,2,2,2,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,2,2,2,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1
